estacionID,fecha,temp_media,tmax,tmin
ATQJL,08/09/21 0:00,21.2,27,15.5
BBAJL,08/09/21 0:00,23,33,13
BCSJL,08/09/21 0:00,23.5,28,19
BLNJL,08/09/21 0:00,23.5,28,19
CGZJL,08/09/21 0:00,21.5,27,16
CHFJL,08/09/21 0:00,25.7,29,22.5
CIHJL,08/09/21 0:00,27,30,24
CLTJL,08/09/21 0:00,20,24.3,15.7
CRNJL,08/09/21 0:00,20.2,24.5,16
CRTJL,08/09/21 0:00,20.5,27,14
CUIJL,08/09/21 0:00,22,27,17
CULJL,08/09/21 0:00,26,29,23
CUNJL,08/09/21 0:00,23,31,15
CXTJL,08/09/21 0:00,25.75,31.5,20
EGCJL,08/09/21 0:00,18.2,22.5,14
ELCJL,08/09/21 0:00,25,30,20
FTEJL,08/09/21 0:00,19,24,14
GUAJL,08/09/21 0:00,21.5,27,16
HUAJL,08/09/21 0:00,21.5,29,14
JMYJL,08/09/21 0:00,20.2,27.5,13
LDBJL,08/09/21 0:00,26.5,30.5,22.5
LDCJL,08/09/21 0:00,21.2,25.5,17
LDMJL,08/09/21 0:00,20.2,25.5,15
OLMJL,08/09/21 0:00,20.6,25.9,15.3
PITJL,08/09/21 0:00,21.2,26.5,16
RAMJL,08/09/21 0:00,22.2,27.5,17
SAUJL,08/09/21 0:00,19.2,24,14.5
SGRJL,08/09/21 0:00,20.5,25.5,15.5
TCAJL,08/09/21 0:00,21,27,15
TLAJL,08/09/21 0:00,22.2,28.5,16
VEGJL,08/09/21 0:00,22.2,27.5,17
ZPTJL,08/09/21 0:00,20.2,26.5,14
AGOMC,08/09/21 0:00,15.5,21,10
AMEMC,08/09/21 0:00,18.55,24.6,12.5
APTMC,08/09/21 0:00,26.5,33,20
BIBMC,08/09/21 0:00,21.25,29,13.5
CBLMC,08/09/21 0:00,19.25,26.5,12
CHAMC,08/09/21 0:00,20,26,14
CHIMC,08/09/21 0:00,17.5,23,12
CHLMC,08/09/21 0:00,28,38.5,17.5
COIMC,08/09/21 0:00,17.75,24,11.5
CORMC,08/09/21 0:00,20.25,26.5,14
DGNMC,08/09/21 0:00,23.6,30.4,16.8
EGIMC,08/09/21 0:00,18.25,24.5,12
GUAMC,08/09/21 0:00,18.5,32,5
INFMC,08/09/21 0:00,28.75,34,23.5
JARMC,08/09/21 0:00,17.75,31,4.5
LANMC,08/09/21 0:00,20.05,25.6,14.5
LOLMC,08/09/21 0:00,27,37.5,16.5
