estacionID,fecha,temp_media,tmax,tmin
MDRTP,08/09/21 0:00,29,33,25
MHGTP,08/09/21 0:00,28.75,36.4,21.1
MRGTP,08/09/21 0:00,30,36,24
PADTP,08/09/21 0:00,30.7,38.1,23.3
PANTP,08/09/21 0:00,30,36,24
PDMTP,08/09/21 0:00,30.35,37.9,22.8
PILTP,08/09/21 0:00,31.05,38.2,23.9
PJMTP,08/09/21 0:00,29.75,36,23.5
PVLTP,08/09/21 0:00,27.75,34.5,21
RSPTP,08/09/21 0:00,29.2,35.5,23
RYATP,08/09/21 0:00,30,37,23
RYNTP,08/09/21 0:00,30,37,23
SDATP,08/09/21 0:00,29.7,36.5,23
SGBTP,08/09/21 0:00,29.5,37,22
SLMTP,08/09/21 0:00,30.55,37.8,23.3
STETP,08/09/21 0:00,29.75,36,23.5
TMPTP,08/09/21 0:00,30,33.8,26.3
TMSTP,08/09/21 0:00,29.2,36,22.5
VCATP,08/09/21 0:00,30,36,24
VGRTP,08/09/21 0:00,30,36,24
VHMTP,08/09/21 0:00,31,36,26
VSMTP,08/09/21 0:00,29.45,35.4,23.5
ACAVC,08/09/21 0:00,16,21,11
ACTVC,08/09/21 0:00,26.8,31.5,22
ALAVC,08/09/21 0:00,27.2,32,22.5
ALTVC,08/09/21 0:00,16.5,22,11
ARCVC,08/09/21 0:00,28.2,33,23.5
BRIVC,08/09/21 0:00,18.8,23.5,14
CHYVC,08/09/21 0:00,26.2,31.5,21
COAVC,08/09/21 0:00,21.5,28,15
CRDVC,08/09/21 0:00,27.5,32,23
CRRVC,08/09/21 0:00,27.5,33,22
CTTVC,08/09/21 0:00,28.5,34,23
GARVC,08/09/21 0:00,28.2,33,23.5
HGOVC,08/09/21 0:00,28,33,23
HLSVC,08/09/21 0:00,29.5,36,23
HTSVC,08/09/21 0:00,18.5,23,14
IDOVC,08/09/21 0:00,27.5,32,23
JCRVC,08/09/21 0:00,27,33,21
JDCVC,08/09/21 0:00,26.8,32,21.5
JOYVC,08/09/21 0:00,13.2,18,8.5
LAUVC,08/09/21 0:00,26.8,31,22.5
LGRVC,08/09/21 0:00,15.5,26,5
LOFVC,08/09/21 0:00,27,32,22
LPEVC,08/09/21 0:00,26,32,20
MDTVC,08/09/21 0:00,26.8,29.5,24
MNZVC,08/09/21 0:00,27.5,32.5,22.5
NAOVC,08/09/21 0:00,17,21,13
OLVVC,08/09/21 0:00,29.7,36.5,23
ORZVC,08/09/21 0:00,21.4,25.4,17.3
OTIVC,08/09/21 0:00,19,23,15
PNCVC,08/09/21 0:00,29.7,35,24.5
PSNVC,08/09/21 0:00,30,38,22
RALVC,08/09/21 0:00,28.5,34,23
SBTVC,08/09/21 0:00,26.2,31.5,21
SJEVC,08/09/21 0:00,28.2,32.5,24
TAPVC,08/09/21 0:00,21,26,16
TMOVC,08/09/21 0:00,28.2,34,22.5
TMPVC,08/09/21 0:00,27.5,33,22
TNCVC,08/09/21 0:00,24,32,16
TOTVC,08/09/21 0:00,19,23,15
TXPVC,08/09/21 0:00,29.4,34.4,24.4
TZAVC,08/09/21 0:00,29,34,24
VAZVC,08/09/21 0:00,28,33,23
VERVC,08/09/21 0:00,28.3,32.6,24
XCFVC,08/09/21 0:00,19.5,24,15
XOBVC,08/09/21 0:00,21.1,27,15.2
ZALVC,08/09/21 0:00,12.5,21,4
BECYC,08/09/21 0:00,28.5,34,23
CANYC,08/09/21 0:00,26,29,23
CHOYC,08/09/21 0:00,28,33,23
CICYC,08/09/21 0:00,29,34,24
CYOYC,08/09/21 0:00,29.75,35.5,24
EZAYC,08/09/21 0:00,28,33,23
GARYC,08/09/21 0:00,27.75,34.5,21
MEOYC,08/09/21 0:00,28.3,33.4,23.2
MOCYC,08/09/21 0:00,26.5,33,20
MTOYC,08/09/21 0:00,26.5,33.5,19.5
MUNYC,08/09/21 0:00,27.25,31.5,23
OXKYC,08/09/21 0:00,28,34,22
PETYC,08/09/21 0:00,26.5,32,21
PROYC,08/09/21 0:00,27.1,32.6,21.6
RLAYC,08/09/21 0:00,29.5,35,24
TICYC,08/09/21 0:00,26.25,31,21.5
TIZYC,08/09/21 0:00,28.75,33.5,24
VALYC,08/09/21 0:00,30,35,25
ACHZC,08/09/21 0:00,19.5,24,15
ATGZC,08/09/21 0:00,16.75,21,12.5
BTEZC,08/09/21 0:00,19.6,24.2,15
CHIZC,08/09/21 0:00,20.25,24.5,16
CORZC,08/09/21 0:00,22,28,16
ELCZC,08/09/21 0:00,20.8,26.7,14.9
ELSZC,08/09/21 0:00,19.2,26.2,12.2
EXCZC,08/09/21 0:00,20.4,25.4,15.4
FREZC,08/09/21 0:00,20.35,25.5,15.2
GJAZC,08/09/21 0:00,14,17,11
GPEZC,08/09/21 0:00,19.85,25.5,14.2
LBUZC,08/09/21 0:00,15.25,19.5,11
LLBZC,08/09/21 0:00,17.75,24,11.5
LMOZC,08/09/21 0:00,20,27,13
LOBZC,08/09/21 0:00,18.5,24,13
LORZC,08/09/21 0:00,21.2,27.2,15.2
LREZC,08/09/21 0:00,19,24,14
MGAZC,08/09/21 0:00,19.5,26,13
MORZC,08/09/21 0:00,22.5,29,16
NCTZC,08/09/21 0:00,19.5,25.5,13.5
PALZC,08/09/21 0:00,18.5,22,15
PINZC,08/09/21 0:00,17.5,25,10
PMOZC,08/09/21 0:00,21.25,26,16.5
RGRZC,08/09/21 0:00,18.5,26,11
SFOZC,08/09/21 0:00,24.5,33.5,15.5
SGOZC,08/09/21 0:00,21.1,27,15.2
SOMZC,08/09/21 0:00,17.5,24,11
STEZC,08/09/21 0:00,17.5,20,15
STRZC,08/09/21 0:00,19.5,24.5,14.5
TAYZC,08/09/21 0:00,18.75,23,14.5
TCHZC,08/09/21 0:00,16,20,12
TLAZC,08/09/21 0:00,16.5,22,11
TLLZC,08/09/21 0:00,19.5,22.5,16.5
VHGZC,08/09/21 0:00,19.75,26.7,12.8
VILZC,08/09/21 0:00,24.25,29,19.5
ZACZC,08/09/21 0:00,19,25,13
ENASI,08/09/21 0:00,29.5,34,25
PBRJL,08/09/21 0:00,21.7,25,18.5
ATBMR,08/09/21 0:00,19.5,24,15
SJAPB,08/09/21 0:00,29.8,37.5,22
TNCSL,08/09/21 0:00,28.8,33.6,24
CNDTP,08/09/21 0:00,30.7,37,24.4
LAETP,08/09/21 0:00,28,34.5,21.5
PTBBN,08/09/21 0:00,20.5,24,17
TEBMR,08/09/21 0:00,22.5,27,18
TMPMR,08/09/21 0:00,25,30,20
SVTSL,08/09/21 0:00,28,33,23
IVGSL,08/09/21 0:00,18.5,26,11
EMUTB,08/09/21 0:00,29.2,33.1,25.3
RFRTP,08/09/21 0:00,31.5,38,25
AHLTP,08/09/21 0:00,28.6,34.4,22.8
SBNTP,08/09/21 0:00,28,33,23
